date,year,month,day,week_number,description,value,tag
2025-06-01 10:35:15 PM,2025,6,1,22,Sueño,6,Health
2025-06-01 10:35:15 PM,2025,6,1,22,Humor,6,Health
2025-06-01 10:35:15 PM,2025,6,1,22,Estres,2,Health
2025-06-01 10:35:15 PM,2025,6,1,22,positive_habit_01,1,PositiveHabits
2025-06-01 10:35:15 PM,2025,6,1,22,positive_habit_02,1,PositiveHabits
2025-06-01 10:35:15 PM,2025,6,1,22,positive_habit_03,1,PositiveHabits
2025-06-01 10:35:15 PM,2025,6,1,22,positive_habit_04,0,PositiveHabits
2025-06-01 10:35:15 PM,2025,6,1,22,positive_habit_05,0,PositiveHabits
2025-06-01 10:35:15 PM,2025,6,1,22,positive_habit_06,1,PositiveHabits
2025-06-01 10:35:15 PM,2025,6,1,22,positive_habit_07,1,PositiveHabits
2025-06-01 10:35:15 PM,2025,6,1,22,negative_habit_01,1,NegativeHabits
2025-06-01 10:35:15 PM,2025,6,1,22,negative_habit_02,0,NegativeHabits
2025-06-01 10:35:15 PM,2025,6,1,22,negative_habit_03,0,NegativeHabits
2025-06-01 10:35:15 PM,2025,6,1,22,negative_habit_04,0,NegativeHabits
2025-06-01 10:35:15 PM,2025,6,1,22,Saludo al Sol,0,ConvictConditioning
2025-06-01 10:35:15 PM,2025,6,1,22,Full Pullups,0,ConvictConditioning
2025-06-01 10:35:15 PM,2025,6,1,22,Unevein Squats,0,ConvictConditioning
2025-06-01 10:35:15 PM,2025,6,1,22,Close Pushups,0,ConvictConditioning
2025-06-01 10:35:15 PM,2025,6,1,22,Straigt Leg Raises,0,ConvictConditioning
2025-06-01 10:35:15 PM,2025,6,1,22,Handstand Pushups,0,ConvictConditioning
2025-06-01 10:35:15 PM,2025,6,1,22,Straignt Bridges,0,ConvictConditioning
2025-06-02 10:09:25 PM,2025,6,2,23,Sueño,9,Health
2025-06-02 10:09:25 PM,2025,6,2,23,Humor,8,Health
2025-06-02 10:09:25 PM,2025,6,2,23,Estres,2,Health
2025-06-02 10:09:25 PM,2025,6,2,23,positive_habit_01,1,PositiveHabits
2025-06-02 10:09:25 PM,2025,6,2,23,positive_habit_02,1,PositiveHabits
2025-06-02 10:09:25 PM,2025,6,2,23,positive_habit_03,1,PositiveHabits
2025-06-02 10:09:25 PM,2025,6,2,23,positive_habit_04,1,PositiveHabits
2025-06-02 10:09:25 PM,2025,6,2,23,positive_habit_05,1,PositiveHabits
2025-06-02 10:09:25 PM,2025,6,2,23,positive_habit_06,0,PositiveHabits
2025-06-02 10:09:25 PM,2025,6,2,23,positive_habit_07,1,PositiveHabits
2025-06-02 10:09:25 PM,2025,6,2,23,negative_habit_01,0,NegativeHabits
2025-06-02 10:09:25 PM,2025,6,2,23,negative_habit_02,0,NegativeHabits
2025-06-02 10:09:25 PM,2025,6,2,23,negative_habit_03,0,NegativeHabits
2025-06-02 10:09:25 PM,2025,6,2,23,negative_habit_04,0,NegativeHabits
2025-06-02 10:09:25 PM,2025,6,2,23,Saludo al Sol,5,ConvictConditioning
2025-06-02 10:09:25 PM,2025,6,2,23,Full Pullups,29,ConvictConditioning
2025-06-02 10:09:25 PM,2025,6,2,23,Unevein Squats,38,ConvictConditioning
2025-06-02 10:09:25 PM,2025,6,2,23,Close Pushups,0,ConvictConditioning
2025-06-02 10:09:25 PM,2025,6,2,23,Straigt Leg Raises,0,ConvictConditioning
2025-06-02 10:09:25 PM,2025,6,2,23,Handstand Pushups,0,ConvictConditioning
2025-06-02 10:09:25 PM,2025,6,2,23,Straignt Bridges,0,ConvictConditioning
2025-06-03 08:05:12 PM,2025,6,3,23,Sueño,9,Health
2025-06-03 08:05:12 PM,2025,6,3,23,Humor,7,Health
